RunID,Epoch_0,Epoch_1,Epoch_2,Epoch_3,Epoch_4,Epoch_5,Epoch_6,Epoch_7,Epoch_8,Epoch_9,Epoch_10,Epoch_11,Epoch_12,Epoch_13,Epoch_14,Epoch_15,Epoch_16,Epoch_17,Epoch_18,Epoch_19,Epoch_20,Epoch_21,Epoch_22,Epoch_23,Epoch_24,Epoch_25,Epoch_26,Epoch_27,Epoch_28,Epoch_29,Epoch_30,Epoch_31,Epoch_32,Epoch_33,Epoch_34,Epoch_35,Epoch_36,Epoch_37,Epoch_38,Epoch_39,Epoch_40,Epoch_41,Epoch_42,Epoch_43,Epoch_44,Epoch_45,Epoch_46,Epoch_47,Epoch_48,Epoch_49,Epoch_50,Epoch_51,Epoch_52,Epoch_53,Epoch_54,Epoch_55,Epoch_56,Epoch_57,Epoch_58,Epoch_59,Epoch_60,Epoch_61,Epoch_62,Epoch_63,Epoch_64,Epoch_65,Epoch_66,Epoch_67,Epoch_68,Epoch_69,Epoch_70,Epoch_71,Epoch_72,Epoch_73,Epoch_74,Epoch_75,Epoch_76,Epoch_77,Epoch_78,Epoch_79,Epoch_80,Epoch_81,Epoch_82,Epoch_83,Epoch_84,Epoch_85,Epoch_86,Epoch_87,Epoch_88,Epoch_89,Epoch_90,Epoch_91,Epoch_92,Epoch_93,Epoch_94,Epoch_95,Epoch_96,Epoch_97,Epoch_98,Epoch_99,Epoch_100
Run_0,60.57858,61.97857,61.97857,61.97857,62.67857,63.02857,63.02857,63.37857,63.37857,72.20238,72.20238,72.20238,72.20238,73.60239,73.60239,73.95238,73.95238,73.95238,73.95238,73.95238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,82.77619,83.12619,83.12619,83.12619,83.12619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619
Run_1,60.57858,60.57858,60.92857,60.92857,60.92857,60.92857,61.97857,61.97857,61.97857,61.97857,71.15238,79.62619,88.1,89.15,89.15,89.15,89.15,89.15,89.15,89.15,89.15,89.15,89.15,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85
Run_2,60.57858,60.57858,60.57858,60.92857,61.62857,63.02857,63.02857,63.37857,72.20238,72.55238,72.55238,72.55238,72.55238,73.25239,73.25239,73.25239,73.25239,73.25239,73.25239,73.25239,73.60239,73.60239,73.95238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.65238,74.65238,74.65238,74.65238,74.65238,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.70238,75.70238,75.70238,75.70238,75.70238,75.70238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619
Run_3,60.57858,60.57858,60.57858,60.92857,79.97619,79.97619,79.97619,79.97619,79.97619,80.67619,80.67619,81.02618,81.02618,81.72619,81.72619,81.72619,82.07619,82.07619,82.07619,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55
Run_4,60.57858,60.57858,60.57858,61.97857,61.97857,61.97857,70.45238,71.15238,79.27618,79.62619,88.45,88.45,88.45,88.45,88.45,88.45,88.45,88.8,88.8,88.8,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5
Run_5,60.57858,60.57858,70.80238,70.80238,70.80238,70.80238,71.15238,71.50238,71.50238,72.20238,72.20238,72.20238,72.20238,72.55238,73.25239,73.60239,73.60239,73.60239,73.60239,73.60239,73.60239,73.60239,73.60239,73.60239,73.60239,73.60239,73.60239,73.60239,73.60239,73.60239,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.30238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,74.65238,75.00239,75.00239,75.00239,75.00239,75.00239,75.00239,75.00239,75.00239,75.70238,75.70238,75.70238,75.70238,75.70238,75.70238,75.70238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238
Run_6,60.57858,61.62857,61.62857,61.62857,61.62857,61.62857,61.62857,61.62857,61.62857,61.62857,61.62857,61.62857,61.62857,71.15238,71.15238,71.50238,72.55238,72.90238,72.90238,72.90238,72.90238,72.90238,72.90238,72.90238,72.90238,81.02618,89.5,89.5,89.5,89.5,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55
Run_7,60.57858,60.92857,60.92857,60.92857,60.92857,61.27857,61.62857,61.62857,61.62857,61.62857,61.62857,61.62857,61.62857,61.62857,61.62857,61.97857,61.97857,62.67857,62.67857,72.90238,72.90238,72.90238,72.90238,72.90238,72.90238,73.25239,73.25239,73.25239,73.25239,73.25239,73.25239,73.25239,73.60239,73.60239,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,74.65238,74.65238,74.65238,75.00239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239,75.35239
Run_8,60.57858,60.57858,60.57858,69.75238,70.10239,70.45238,70.45238,70.45238,70.45238,70.45238,70.45238,70.45238,70.80238,71.15238,71.15238,80.67619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,81.72619,82.07619,82.07619,82.07619,82.07619,90.2,90.2,90.55,90.55,90.55,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,91.25,91.25,91.25,91.25,91.25,91.25,91.25,91.25,91.25,91.25,91.25,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6
Run_9,60.57858,60.57858,60.57858,60.57858,60.57858,60.57858,60.57858,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.45,88.45,88.45,88.45,88.45,88.45,88.45,88.45,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8
